SPL (dBA);ARAGON;AYUNTAMIENTO;D. JUAN AUSTRIA;P.SILLA
01/05/2019;63;64;60;59
02/05/2019;63;64;63;61
03/05/2019;64;66;63;62
04/05/2019;63;66;64;61
05/05/2019;62;65;61;59
06/05/2019;61;64;62;59
07/05/2019;62;64;63;60
08/05/2019;63;64;63;60
09/05/2019;62;64;63;59
10/05/2019;65;65;63;60
11/05/2019;65;66;64;59
12/05/2019;64;65;61;59
13/05/2019;64;64;63;59
14/05/2019;64;64;63;59
15/05/2019;64;64;63;58
16/05/2019;63;64;62;58
17/05/2019;65;64;63;60
18/05/2019;65;65;63;57
19/05/2019;64;64;61;56
20/05/2019;64;64;62;58
21/05/2019;63;62;63;58
22/05/2019;64;64;63;60
23/05/2019;63;64;63;59
24/05/2019;64;65;63;63
25/05/2019;62;65;64;60
26/05/2019;62;66;62;59
27/05/2019;61;65;62;58
28/05/2019;64;64;63;59
29/05/2019;64;64;63;57
30/05/2019;65;64;63;58
31/05/2019;65;64;63;58
